zip,Median_family_income_dollars,Median_household_income_dollars,Per_capita_income_dollars,Percent_Families_Below_Poverty_Line,Percent_Food_Stamp/SNAP_benefits_in_the_past_12_months,Percent_Supplemental_Security_Income
27501,59408,51121,21631,10.5,15.5,5.2
27502,109891,95857,36763,3.4,2.4,0.8
27511,82292,67392,33139,9.6,4.5,2.2
27513,109736,87262,41232,3.8,2.4,1.5
27518,125432,98247,49865,5.5,1,1.7
27519,137193,121815,45778,3.2,2.3,2.3
27520,67939,58455,25628,5,7.8,2.4
27522,66250,59221,25513,6,7,4.2
27523,89184,68342,36976,3.1,3.1,1.8
27526,74666,66025,28074,8.4,8.3,3.9
27529,68627,59613,25807,9.5,7.6,4.8
27539,88121,82614,34877,2.2,4.1,1.4
27540,96650,88638,33308,3,4.5,2.4
27545,72301,60825,26568,6.1,6.1,1.8
27560,97917,80324,38830,3.6,3.9,1.1
27562,71161,61097,31161,10.4,1.4,15.4
27571,86250,81809,30502,8.2,12.6,3.7
27587,96247,83416,34731,5.5,6.4,3.2
27591,59892,50868,24239,10.1,12.9,3
27592,66160,56747,23355,6.3,7.2,1.9
27596,68750,59712,26241,5.6,9.6,4.1
27597,59395,51266,21573,11.3,15.5,7.5
27601,28641,27564,17363,35.9,33.5,10.8
27603,68608,54889,27843,12.6,10.4,3.8
27604,57419,50365,25532,14.4,10.2,3.8
27605,109886,49309,42632,4.1,6.5,4
27606,61324,44422,25385,13.8,7.6,2
27607,85325,53825,26007,12.8,8.8,3.9
27608,125019,83986,59155,5.5,2.6,2.7
27609,73715,53640,39008,8.9,9,1.6
27610,49213,45209,19207,19.2,16.9,5.9
27612,98452,68864,45080,5.5,4.8,1.3
27613,106854,79698,42435,4.7,4.2,1.7
27614,119232,94727,45317,3.7,3.3,1.2
27615,98884,78378,44747,4.2,4.2,1.5
27616,60033,56323,24549,11.7,10.6,4.6
27617,98642,76959,49205,2,1.3,0.5
27703,60783,54674,24280,12.7,15.4,3.6
